Year,Month,CMS
1990,1,11.60349411
1990,2,9.22421291
1990,3,22.44773668
1990,4,30.91981075
1990,5,22.4766483
1990,6,17.52192281
1990,7,5.650543086
1990,8,3.655737299
1990,9,3.075483904
1990,10,3.18262901
1990,11,3.338723409
1990,12,3.399236905
1991,1,3.318589839
1991,2,4.027892399
1991,3,26.45358705
1991,4,27.20646238
1991,5,33.25319848
1991,6,19.36352209
1991,7,5.91172223
1991,8,3.901083367
1991,9,3.032938824
1991,10,3.582672983
1991,11,4.314209292
1991,12,4.38848329
1992,1,4.550981648
1992,2,17.37010727
1992,3,18.23422257
1992,4,27.70110947
1992,5,11.84459646
1992,6,4.810727506
1992,7,3.460735463
1992,8,2.367520577
1992,9,2.149351771
1992,10,3.221393404
1992,11,4.333121156
1992,12,8.619140122
1993,1,29.81033232
1993,2,23.68171204
1993,3,55.84037508
1993,4,48.38943466
1993,5,74.1842398
1993,6,49.31882316
1993,7,13.43788534
1993,8,6.633478317
1993,9,4.816843158
1993,10,5.227036855
1993,11,4.680204539
1993,12,7.735706043
1994,1,6.479871263
1994,2,9.631574843
1994,3,17.93303256
1994,4,21.57762893
1994,5,21.97457739
1994,6,7.132699128
1994,7,3.667602591
1994,8,2.6840115
1994,9,2.582310772
1994,10,4.196686688
1994,11,6.676970402
1994,12,81.27629129
1995,1,84.06283734
1995,2,60.31023303
1995,3,100.7209124
1995,4,89.31320356
1995,5,36.32988671
1995,6,10.06708632
1995,7,6.300675438
1995,8,5.151810715
1995,9,4.876878807
1995,10,19.88852208
1995,11,26.67519302
1995,12,77.36001894
1996,1,41.05086459
1996,2,53.39977242
1996,3,97.65782124
1996,4,31.41831849
1996,5,10.76652005
1996,6,6.484358147
1996,7,5.451651807
1996,8,4.938435281
1996,9,11.45905123
1996,10,83.63123855
1996,11,59.83942515
1996,12,32.43160117
1997,1,28.47719495
1997,2,40.84844498
1997,3,36.18207685
1997,4,14.61160121
1997,5,6.908189993
1997,6,5.097517729
1997,7,4.51923113
1997,8,4.765013623
1997,9,7.158803721
1997,10,8.482446633
1997,11,40.50122659
1997,12,41.04145622
1998,1,46.86650365
1998,2,43.26889118
1998,3,67.90267633
1998,4,87.68223183
1998,5,30.11816385
1998,6,9.40338167
1998,7,7.181742334
1998,8,6.23922141
1998,9,13.92245362
1998,10,19.35197683
1998,11,33.39106232
1998,12,45.13103889
1999,1,35.15142631
1999,2,36.05232348
1999,3,65.35206678
1999,4,43.91576227
1999,5,11.93456789
1999,6,6.717524926
1999,7,5.186476334
1999,8,5.137281204
1999,9,6.252998913
1999,10,5.823907654
1999,11,22.87713882
1999,12,42.91531922
2000,1,33.14917022
2000,2,46.16509588
2000,3,48.45857029
2000,4,18.24969662
2000,5,7.16470465
2000,6,4.924533764
2000,7,4.597505581
2000,8,4.717590516
2000,9,4.62047369
2000,10,5.234734547
2000,11,4.989474114
2000,12,7.080707655
2001,1,18.3033781
2001,2,20.98617703
2001,3,24.29389462
2001,4,5.973212733
2001,5,3.844906397
2001,6,3.080250768
2001,7,2.893411494
2001,8,2.898642244
2001,9,6.132426172
2001,10,12.89098769
2001,11,20.99493437
2001,12,15.8576726
2002,1,23.07247369
2002,2,39.24082482
2002,3,34.93755609
2002,4,15.8668831
2002,5,5.472613654
2002,6,3.894755846
2002,7,3.400096242
2002,8,3.140071319
2002,9,7.903289232
2002,10,22.77338347
2002,11,33.76678231
2002,12,22.46271924
2003,1,27.20072405
2003,2,35.67318918
2003,3,62.84065932
2003,4,34.15612498
2003,5,8.883849357
2003,6,6.172368531
2003,7,4.459973756
2003,8,3.862162
2003,9,4.651140442
2003,10,16.26970325
2003,11,14.39375972
2003,12,24.65961026
2004,1,36.9486525
2004,2,37.39597484
2004,3,35.12459382
2004,4,13.03168829
2004,5,5.600921999
2004,6,3.938867709
2004,7,3.50595892
2004,8,4.826377577
2004,9,4.899993404
2004,10,9.248704699
2004,11,15.24938792
2004,12,16.65064635
2005,1,30.08305324
2005,2,34.93798865
2005,3,93.30334481
2005,4,40.03842884
2005,5,11.70651377
2005,6,5.961416334
2005,7,4.775685408
2005,8,4.629867284
2005,9,6.040448598
2005,10,76.40489528
2005,11,54.02158876
2005,12,40.04743954
2006,1,51.91957707
2006,2,80.99200054
2006,3,99.42714843
2006,4,40.63632726
2006,5,11.57436849
2006,6,6.553304341
2006,7,5.045121158
2006,8,4.746021925
2006,9,6.374118285
2006,10,13.09167954
2006,11,10.43112019
2006,12,24.95128228
2007,1,25.93659443
2007,2,24.54058898
2007,3,24.41027344
2007,4,8.276070483
2007,5,4.562647124
2007,6,3.636383647
2007,7,3.428118122
2007,8,4.413017946
2007,9,3.968788738
2007,10,4.568946455
2007,11,8.599061653
2007,12,10.50260057
2008,1,18.79143254
2008,2,25.56794124
2008,3,39.13195099
2008,4,11.2218846
2008,5,4.623626085
2008,6,3.47255318
2008,7,2.977419935
2008,8,3.162495123
2008,9,5.925618799
2008,10,4.217603811
2008,11,8.660016861
2008,12,20.57820732
2009,1,36.0684006
2009,2,30.77595868
2009,3,59.8170081
2009,4,14.23187032
2009,5,5.651888021
2009,6,4.051407814
2009,7,3.308380694
2009,8,4.201688409
2009,9,3.690363589
2009,10,5.006429968
2009,11,11.17581077
2009,12,13.10725537
2010,1,19.41177611
2010,2,31.97035936
2010,3,45.74084237
2010,4,59.80593795
2010,5,12.64656334
2010,6,5.627668859
2010,7,4.365140287
2010,8,8.162098461
2010,9,9.060245439
2010,10,47.15477219
2010,11,22.04116384
2010,12,19.01157079
2011,1,46.26863873
2011,2,65.82585381
2011,3,66.37741068
2011,4,87.02396346
2011,5,38.36354252
2011,6,10.28539056
2011,7,6.397414833
2011,8,6.804582848
2011,9,6.07571028
2011,10,5.091304388
2011,11,8.969342257
2011,12,7.025031546
2012,1,34.61967943
2012,2,50.83126622
2012,3,41.23245969
2012,4,13.39846029
2012,5,6.012378842
2012,6,4.16164155
2012,7,3.401089298
2012,8,3.75709182
2012,9,18.04241572
2012,10,47.81757332
2012,11,15.23493034
2012,12,13.34092294
2013,1,17.94759414
2013,2,24.55825751
2013,3,13.71072996
2013,4,6.523257654
2013,5,3.956439894
2013,6,3.009473775
2013,7,3.21332177
2013,8,3.030949287
2013,9,3.27168095
2013,10,3.317153064
2013,11,3.40147561
2013,12,17.72718899
2014,1,23.05778821
2014,2,22.2475733
2014,3,12.05718214
2014,4,4.817600241
2014,5,3.31667731
2014,6,2.820663395
2014,7,2.49786152
2014,8,2.756810618
2014,9,3.690833766
2014,10,23.54501107
2014,11,9.128101193
2014,12,25.46005849
2015,1,8.637580741
2015,2,7.100341231
2015,3,5.733742854
2015,4,3.536446777
2015,5,2.613255812
2015,6,2.049501611
2015,7,1.958480739
2015,8,2.240317418
2015,9,2.818292051
2015,10,11.2084779
2015,11,31.78371968
2015,12,27.20749587
2016,1,75.50121007
2016,2,47.4099727
2016,3,39.96627987
2016,4,16.61665028
2016,5,6.167563421
2016,6,4.12787505
2016,7,3.449080455
2016,8,10.70359689
2016,9,12.90407606
2016,10,49.24220718
2016,11,88.32904968
2016,12,149.0820894
2017,1,62.23050756
2017,2,88.2769591
2017,3,95.8191292
2017,4,56.4815991
2017,5,14.84263312
2017,6,7.286640266
2017,7,5.738005923
2017,8,5.087298544
2017,9,25.48240809
2017,10,10.37875242
2017,11,21.37176919
2017,12,11.93867744
2018,1,50.75712002
2018,2,63.52578108
